"","X..name","planet_status","orbital_period","orbital_period_error_min","orbital_period_error_max","discovered","updated","publication_status","detection_type","mass_detection_type","radius_detection_type","alternate_names","molecules","star_name","ra","dec","star_sp_type","star_teff","star_detected_disc","star_magnetic_field","star_alternate_names"
"861","HD 86264 b","Confirmed",1475,55,55,2009,"2009-08-13","Published in a refereed paper","Radial Velocity","","","","","HD 86264",149.2416667,-15.895,"F7V",6210,"","",""
"862","HD 8673 b","Confirmed",1634,17,17,2010,"2015-02-26","Published in a refereed paper","Radial Velocity","","","","","HD 8673",21.5333333,34.5794444,"F7 V",6472,"","",""
"863","HD 86950 b","Confirmed",1270,57,57,2016,"2017-06-29","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 86950",150.408333346,-17.333055575,"K1 III",4805,"","",""
"864","HD 87646 A b","Confirmed",13.481,0.001,0.001,2016,"2017-06-08","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 87646 A",151.66987043,17.8951036382,"G1IV",5770,"","",""
"865","HD 87646 A c","Confirmed",674,4,4,2016,"2017-06-08","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 87646 A",151.66987043,17.8951036382,"G1IV",5770,"","",""
"866","HD 87883 b","Confirmed",2754,87,87,2009,"2014-05-27","Published in a refereed paper","Radial Velocity","","","","","HD 87883",152.1791667,34.2422222,"K0V",4980,"","",""
"867","HD 88133 b","Confirmed",3.41566,0.00084,0.00084,2004,"2015-02-24","Published in a refereed paper","Radial Velocity","Radial Velocity","Theoretical","","","HD 88133",152.5291667,18.1866667,"G5 IV",5494,"","",""
"868","HD 89307 b","Confirmed",2199,61,61,2004,"2012-05-25","Published in a refereed paper","Radial Velocity","","","","","HD 89307",154.5875,12.6208333,"G0V",5950,"","",""
"869","HD 89744 b","Confirmed",256,0.7,0.7,2000,"2013-07-04","Published in a refereed paper","Radial Velocity","","","","","HD 89744",155.5416667,41.2294444,"F7 V",6196,"","",""
"870","HD 89744 c","Confirmed",85.2,0.1,0.1,2013,"2013-07-04","Published in a refereed paper","Radial Velocity","","","","","HD 89744",155.5416667,41.2294444,"F7 V",6196,"","",""
"871","HD 90156 b","Confirmed",49.77,0.07,0.07,2009,"2010-10-06","Submitted to a professional journal","Radial Velocity","","","","","HD 90156",155.9791667,-29.6455556,"G5V",5599,"","",""
"872","HD 9174 b","Confirmed",1179,34,34,2016,"2016-04-02","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 9174",22.504166667,-19.60444446,"G8IV",5577,"","",""
"873","HD 92788 b","Confirmed",325.81,0.26,0.26,2000,"2016-01-15","Published in a refereed paper","Radial Velocity","","","","","HD 92788",160.7,-2.1836111,"G5",5559,"","",""
"874","HD 92788 c","Confirmed",162,3,3,2013,"2013-07-04","Published in a refereed paper","Radial Velocity","","","","","HD 92788",160.7,-2.1836111,"G5",5559,"","",""
"875","HD 93083 b","Confirmed",143.58,0.6,0.6,2005,"2014-08-30","Published in a refereed paper","Radial Velocity","","","","","HD 93083",161.0833333,-33.5769444,"K3 V",4995,"","",""
"878","HD 9446 b","Confirmed",30.052,0.027,0.027,2010,"2010-01-05","Published in a refereed paper","Radial Velocity","","","","","HD 9446",23.3333333,29.2652778,"G5V",5793,"","",""
"879","HD 9446 c","Confirmed",192.9,0.9,0.9,2010,"2010-01-05","Published in a refereed paper","Radial Velocity","","","","","HD 9446",23.3333333,29.2652778,"G5V",5793,"","",""
"881","HD 95089 b","Confirmed",507,16,16,2010,"2010-03-19","Submitted to a professional journal","Radial Velocity","","","","","HD 95089",164.7,1.7291667,"K0 IV",5002,"","",""
