"","X..name","planet_status","orbital_period","orbital_period_error_min","orbital_period_error_max","discovered","updated","publication_status","detection_type","mass_detection_type","radius_detection_type","alternate_names","molecules","star_name","ra","dec","star_sp_type","star_teff","star_detected_disc","star_magnetic_field","star_alternate_names"
"3221","Kepler-887 b","Confirmed",20.42228798,9.225e-05,9.225e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-887",290.090807,39.816989,"",6194,"","",""
"3222","Kepler-887 c","Confirmed",7.63846023,4.957e-05,4.957e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-887",290.090807,39.816989,"",6194,"","",""
"3223","Kepler-888 b","Confirmed",70.6979061,0.0003086,0.0003086,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-888",295.521206,49.738632,"",5875,"","",""
"3224","Kepler-889 b","Confirmed",3.744439,1.366e-05,1.366e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-889",291.467319,50.759489,"",5961,"","",""
"3225","Kepler-89 b","Confirmed",3.7432451,3.1e-05,3.1e-05,2012,"2013-11-05","Published in a refereed paper","Primary Transit","","","","","KOI-94",297.3333,41.8911,"",6116,"","","Kepler-89"
"3226","Kepler-89 c","Confirmed",10.423707,2.6e-05,2.6e-05,2012,"2014-05-26","Published in a refereed paper","Primary Transit","","","","","KOI-94",297.3333,41.8911,"",6116,"","","Kepler-89"
"3227","Kepler-89 d","Confirmed",22.3430004,1.1e-05,1.1e-05,2012,"2015-08-31","Published in a refereed paper","Primary Transit","","","","","KOI-94",297.3333,41.8911,"",6116,"","","Kepler-89"
"3228","Kepler-89 e","Confirmed",54.319931,0.00012,0.00012,2012,"2014-05-27","Published in a refereed paper","Primary Transit","","","","","KOI-94",297.3333,41.8911,"",6116,"","","Kepler-89"
"3229","Kepler-890 b","Confirmed",52.75875577,3.345e-05,3.345e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-890",288.435745,43.763496,"",5954,"","",""
"3230","Kepler-891 b","Confirmed",53.44945593,6.578e-05,6.578e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-891",291.083797,40.355255,"",5887,"","",""
"3231","Kepler-892 b","Confirmed",13.7521072,3.106e-05,3.106e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-892",283.129641,43.888241,"",4747,"","",""
"3232","Kepler-893 b","Confirmed",6.33855761,1.361e-05,1.361e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-893",284.963031,43.913006,"",5820,"","",""
"3233","Kepler-894 b","Confirmed",9.803224,3.027e-05,3.027e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-894",288.734088,46.939396,"",5603,"","",""
"3234","Kepler-895 b","Confirmed",2.80624233,8.17e-06,8.17e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-895",289.290653,51.408891,"",4315,"","",""
"3235","Kepler-896 b","Confirmed",144.547396,0.002274,0.002274,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-896",282.439182,43.734486,"",5262,"","",""
"3236","Kepler-897 b","Confirmed",8.0472642,2.943e-05,2.943e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-897",290.586837,51.69582,"",5839,"","",""
"3237","Kepler-898 b","Confirmed",5.8706191,2.07e-05,2.07e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-898",286.585389,46.87093,"",4223,"","",""
"3238","Kepler-899 b","Confirmed",19.17891293,8.075e-05,8.075e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-899",297.48258,40.68078,"",5595,"","",""
"3239","Kepler-9 b","Confirmed",19.22418,7e-05,7e-05,2010,"2017-12-19","Published in a refereed paper","Primary Transit","","","","","Kepler-9",285.575,38.4008333,"",5722,"","",""
"3240","Kepler-9 c","Confirmed",39.03106,2e-04,2e-04,2010,"2014-08-16","Published in a refereed paper","Primary Transit","","","","","Kepler-9",285.575,38.4008333,"",5722,"","",""
"3241","Kepler-9 d","Confirmed",1.592851,4.5e-05,4.5e-05,2010,"2014-04-19","Published in a refereed paper","Primary Transit","","","","","Kepler-9",285.575,38.4008333,"",5722,"","",""
"3242","Kepler-90 b","Confirmed",7.008151,1.9e-05,1.9e-05,2013,"2016-02-24","Published in a refereed paper","Primary Transit","","","KOI-351 b","","Kepler-90",284.433502,49.305161,"",5930,"","","KOI-351"
"3243","Kepler-90 c","Confirmed",8.719375,2.7e-05,2.7e-05,2013,"2016-02-24","Published in a refereed paper","Primary Transit","","","KOI-351 c","","Kepler-90",284.433502,49.305161,"",5930,"","","KOI-351"
"3244","Kepler-90 d","Confirmed",59.73667,0.00038,0.00038,2013,"2016-02-24","Published in a refereed paper","Primary Transit","","","KOI-351 d","","Kepler-90",284.433502,49.305161,"",5930,"","","KOI-351"
"3245","Kepler-90 e","Confirmed",91.93913,0.00073,0.00073,2013,"2016-02-24","Published in a refereed paper","Primary Transit","","","KOI-351 e","","Kepler-90",284.433502,49.305161,"",5930,"","","KOI-351"
"3246","Kepler-90 f","Confirmed",124.9144,0.0019,0.0019,2013,"2016-02-24","Published in a refereed paper","Primary Transit","","","KOI-351 f","","Kepler-90",284.433502,49.305161,"",5930,"","","KOI-351"
"3247","Kepler-90 g","Confirmed",210.60697,0.00043,0.00043,2013,"2016-02-24","Published in a refereed paper","Primary Transit","","","KOI-351 g","","Kepler-90",284.433502,49.305161,"",5930,"","","KOI-351"
"3248","Kepler-90 h","Confirmed",331.60059,0.00037,0.00037,2013,"2016-02-24","Published in a refereed paper","Primary Transit","","","KOI-351 h","","Kepler-90",284.433502,49.305161,"",5930,"","","KOI-351"
"3249","Kepler-90 i","Confirmed",14.44912,2e-04,2e-04,2017,"2017-12-15","Published in a refereed paper","Primary Transit","","Primary Transit","","","Kepler-90",284.433502,49.305161,"",5930,"","","KOI-351"
"3250","Kepler-900 b","Confirmed",6.9913086,1.434e-05,1.434e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-900",296.177297,46.99902,"",4836,"","",""
"3251","Kepler-901 b","Confirmed",3.51749439,3.52e-06,3.52e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-901",291.152951,40.887497,"",4184,"","",""
"3252","Kepler-902 b","Confirmed",40.1099547,0.0001551,0.0001551,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-902",289.731692,46.953823,"",5647,"","",""
"3253","Kepler-903 b","Confirmed",10.3507721,5.128e-05,5.128e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-903",288.771018,40.664176,"",5682,"","",""
"3254","Kepler-903 c","Confirmed",62.9228557,0.0007353,0.0007353,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-903",288.771018,40.664176,"",5682,"","",""
"3255","Kepler-904 b","Confirmed",3.02166863,8.93e-06,8.93e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-904",288.822916,40.389049,"",6160,"","",""
"3256","Kepler-905 b","Confirmed",5.08274652,8.37e-06,8.37e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-905",290.051123,46.713375,"",5461,"","",""
"3257","Kepler-906 b","Confirmed",41.6979976,0.0001595,0.0001595,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-906",291.405561,40.125487,"",6035,"","",""
"3258","Kepler-907 b","Confirmed",15.86621821,6.487e-05,6.487e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-907",285.476589,41.63274,"",6106,"","",""
"3259","Kepler-908 b","Confirmed",1.34059747,1.95e-06,1.95e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-908",295.322517,39.376484,"",5973,"","",""
"3260","Kepler-909 b","Confirmed",13.93290318,4.462e-05,4.462e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-909",289.506358,45.370998,"",6154,"","",""
"3261","Kepler-91 b","Confirmed",6.24658,8.2e-05,8.2e-05,2013,"2014-08-15","Published in a refereed paper","Primary Transit","","","","","Kepler-91",285.670833347,44.116666669,"",4550,"","",""
"3262","Kepler-910 b","Confirmed",2.36436901,8.83e-06,8.83e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-910",296.047358,42.743006,"",6230,"","",""
"3263","Kepler-911 b","Confirmed",20.310501,5.659e-05,5.659e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-911",298.589186,40.750689,"",6112,"","",""
"3264","Kepler-912 b","Confirmed",2.53475627,7.98e-06,7.98e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-912",298.111206,41.758333,"",5998,"","",""
"3265","Kepler-913 b","Confirmed",10.29672521,3.426e-05,3.426e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-913",297.583122,41.952431,"",4687,"","",""
"3266","Kepler-914 b","Confirmed",4.40966548,1.193e-05,1.193e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-914",290.412001,44.89933,"",5877,"","",""
"3267","Kepler-915 b","Confirmed",4.59489604,1.413e-05,1.413e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-915",290.592077,45.737137,"",6173,"","",""
"3268","Kepler-916 b","Confirmed",32.2968798,0.0002489,0.0002489,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-916",290.983322,45.973301,"",5248,"","",""
"3269","Kepler-917 b","Confirmed",2.97041437,9.13e-06,9.13e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-917",299.05126,47.949284,"",5418,"","",""
"3270","Kepler-918 b","Confirmed",4.85386933,3.676e-05,3.676e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-918",298.200719,48.267838,"",6028,"","",""
"3271","Kepler-919 b","Confirmed",11.04603384,6.6e-05,6.6e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-919",298.114772,48.494404,"",6113,"","",""
"3272","Kepler-92 b","Confirmed",13.748933,7.5e-05,7.5e-05,2013,"2015-12-15","Published in a refereed paper","Primary Transit","","","","","Kepler-92",289.0875,41.5631,"",5871,"","",""
"3273","Kepler-92 c","Confirmed",26.72311,0.00019,0.00019,2013,"2015-12-15","Published in a refereed paper","Primary Transit","","","","","Kepler-92",289.0875,41.5631,"",5871,"","",""
"3274","Kepler-92 d","Confirmed",49.3568,0.0024,0.0024,2015,"2015-12-15","Published in a refereed paper","Primary Transit","","Primary Transit","","","Kepler-92",289.0875,41.5631,"",5871,"","",""
"3275","Kepler-920 b","Confirmed",6.53192704,2.296e-05,2.296e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-920",284.296949,49.158676,"",5403,"","",""
"3276","Kepler-920 c","Confirmed",100.8274113,0.0007063,0.0007063,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-920",284.296949,49.158676,"",5403,"","",""
"3277","Kepler-921 b","Confirmed",51.300634,0.0006728,0.0006728,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-921",284.616205,49.190811,"",5663,"","",""
"3278","Kepler-922 b","Confirmed",0.93846683,9.5e-07,9.5e-07,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-922",284.731462,49.533195,"",5671,"","",""
"3279","Kepler-923 b","Confirmed",6.93366476,3.537e-05,3.537e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-923",294.171085,40.055165,"",5988,"","",""
"3280","Kepler-924 b","Confirmed",61.0370117,0.0003366,0.0003366,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-924",290.668512,40.397718,"",6167,"","",""
"3281","Kepler-925 b","Confirmed",33.8678531,0.0001704,0.0001704,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-925",290.106539,40.490657,"",4673,"","",""
"3282","Kepler-926 b","Confirmed",52.0688601,0.0001903,0.0001903,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-926",289.679343,40.700466,"",5806,"","",""
"3283","Kepler-927 b","Confirmed",9.1149903,3.533e-05,3.533e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-927",289.38351,41.392695,"",5743,"","",""
"3284","Kepler-928 b","Confirmed",3.9324613,9.65e-06,9.65e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-928",289.920717,41.542828,"",4700,"","",""
"3285","Kepler-929 b","Confirmed",0.92103214,3.15e-06,3.15e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-929",298.481124,41.615332,"",5869,"","",""
"3286","Kepler-93 b","Confirmed",4.72673978,9.7e-07,9.7e-07,2014,"2015-11-25","Published in a refereed paper","Primary Transit","","","","","Kepler-93",291.420833347,38.672500018,"",5669,"","",""
"3287","Kepler-930 b","Confirmed",71.4517775,0.0007523,0.0007523,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-930",298.314444,42.247434,"",6335,"","",""
"3288","Kepler-931 b","Confirmed",8.03755877,2.315e-05,2.315e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-931",297.132641,42.768253,"",5241,"","",""
"3289","Kepler-932 b","Confirmed",1.9214374,2.12e-06,2.12e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-932",296.952062,43.271969,"",5331,"","",""
"3290","Kepler-933 b","Confirmed",14.20443009,6.185e-05,6.185e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-933",289.568659,43.538612,"",5346,"","",""
"3291","Kepler-934 b","Confirmed",55.6738309,0.0002829,0.0002829,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-934",290.288467,43.755322,"",5001,"","",""
"3292","Kepler-935 b","Confirmed",4.88083852,1.481e-05,1.481e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-935",295.021668,46.619217,"",4830,"","",""
"3293","Kepler-936 b","Confirmed",10.56134221,4.545e-05,4.545e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-936",293.577759,46.736347,"",5482,"","",""
"3294","Kepler-937 b","Confirmed",67.668827,0.0005833,0.0005833,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-937",294.168805,46.714611,"",6095,"","",""
"3295","Kepler-937 c","Confirmed",153.343364,0.003287,0.003287,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-937",294.168805,46.714611,"",6095,"","",""
"3296","Kepler-938 b","Confirmed",52.6298417,0.0002898,0.0002898,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-938",294.789143,46.98399,"",5533,"","",""
"3297","Kepler-939 b","Confirmed",14.878296,0.0001256,0.0001256,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-939",293.865613,47.026829,"",5471,"","",""
"3299","Kepler-94 c","Confirmed",820,3,3,2014,"2015-12-17","Published in a refereed paper","Radial Velocity","","","","","Kepler-94",281.194750016,47.4971389096,"",4781,"","","KIC 10318874, KOI-104"
"3300","Kepler-940 b","Confirmed",59.6225257,0.0003015,0.0003015,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-940",294.241293,47.275982,"",5769,"","",""
"3301","Kepler-941 b","Confirmed",17.42395198,8.3e-05,8.3e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-941",294.326356,47.217613,"",5539,"","",""
"3302","Kepler-942 b","Confirmed",44.96417488,6.962e-05,6.962e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-942",294.955114,44.149818,"",4861,"","",""
"3303","Kepler-944 b","Confirmed",43.3167737,0.0002351,0.0002351,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-944",293.601262,42.379761,"",5409,"","",""
"3304","Kepler-945 b","Confirmed",31.0033814,0.0002081,0.0002081,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-945",291.269748,42.096046,"",5718,"","",""
"3305","Kepler-946 b","Confirmed",11.79162572,5.506e-05,5.506e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-946",300.929606,44.02879,"",5665,"","",""
"3306","Kepler-947 b","Confirmed",26.9644317,0.000157,0.000157,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-947",294.366727,42.252678,"",5508,"","",""
"3307","Kepler-948 b","Confirmed",7.76846622,4.201e-05,4.201e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-948",293.300231,41.523338,"",5679,"","",""
"3308","Kepler-949 b","Confirmed",8.6893073,9.63e-06,9.63e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-949",298.607876,46.453682,"",5403,"","",""
"3310","Kepler-950 b","Confirmed",98.7180406,0.0001748,0.0001748,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-950",287.956566,41.130329,"",5857,"","",""
"3311","Kepler-951 b","Confirmed",71.52530845,8.419e-05,8.419e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-951",287.73756,38.114567,"",4834,"","",""
"3312","Kepler-952 b","Confirmed",130.3546919,0.0002069,0.0002069,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-952",285.371949,41.993912,"",5730,"","",""
"3314","Kepler-953 c","Confirmed",9.10967112,2.528e-05,2.528e-05,2016,"2016-05-24","Announced on a website","Primary Transit","","","KIC 8552719 c","","KIC 8552719",288.9708,44.6244,"",5114,"","",""
"3315","Kepler-954 b","Confirmed",16.78176602,1.593e-05,1.593e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-954",295.859378,47.93951,"",4990,"","",""
"3316","Kepler-955 b","Confirmed",14.53244172,1.662e-05,1.662e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-955",288.471458,40.269795,"",5350,"","",""
"3317","Kepler-956 b","Confirmed",5.24867263,3.12e-06,3.12e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-956",292.530806,49.061707,"",6040,"","",""
"3318","Kepler-957 b","Confirmed",5.90741354,5.07e-06,5.07e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-957",290.156346,48.818996,"",4963,"","",""
"3319","Kepler-958 b","Confirmed",9.7678805,1.11e-05,1.11e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-958",287.256685,46.066769,"",5421,"","",""
"3320","Kepler-959 b","Confirmed",14.80074836,4.706e-05,4.706e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-959",292.171168,40.811382,"",7005,"","",""
"3322","Kepler-960 b","Confirmed",3.12686223,1.67e-06,1.67e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-960",281.457163,46.746468,"",4755,"","",""
"3323","Kepler-961 b","Confirmed",16.87727414,2.872e-05,2.872e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-961",282.035496,43.631268,"",5582,"","",""
"3324","Kepler-962 b","Confirmed",12.05707239,1.586e-05,1.586e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-962",295.313145,46.237488,"",5478,"","",""
"3325","Kepler-963 b","Confirmed",9.97683705,1.568e-05,1.568e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-963",296.752973,45.0411,"",5461,"","",""
"3326","Kepler-964 b","Confirmed",13.5225106,2.258e-05,2.258e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-964",295.30009,40.556591,"",5427,"","",""
"3327","Kepler-965 b","Confirmed",134.2527298,0.0005661,0.0005661,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-965",298.515338,41.891205,"",5886,"","",""
"3328","Kepler-966 b","Confirmed",99.747622,0.0004523,0.0004523,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-966",297.270578,50.121811,"",5840,"","",""
"3329","Kepler-967 b","Confirmed",13.22713379,2.209e-05,2.209e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-967",286.558075,38.40536,"",5178,"","",""
"3330","Kepler-967 c","Confirmed",198.7112502,0.0006558,0.0006558,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-967",286.558075,38.40536,"",5178,"","",""
"3331","Kepler-968 b","Confirmed",3.69298373,3.61e-06,3.61e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-968",285.602528,50.112038,"",4598,"","",""
"3332","Kepler-968 c","Confirmed",5.70940492,9.54e-06,9.54e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-968",285.602528,50.112038,"",4598,"","",""
"3333","Kepler-969 b","Confirmed",34.1731714,7.358e-05,7.358e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-969",288.372508,47.933556,"",5214,"","",""
"3334","Kepler-969 c","Confirmed",1.6829346,2.93e-06,2.93e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-969",288.372508,47.933556,"",5214,"","",""
"3335","Kepler-970 b","Confirmed",16.73652231,2.699e-05,2.699e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-970",289.62523,40.708726,"",4511,"","",""
"3336","Kepler-971 b","Confirmed",9.59070716,2.32e-05,2.32e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-971",284.094587,41.182821,"",5431,"","",""
"3337","Kepler-972 b","Confirmed",7.03932553,1.608e-05,1.608e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-972",295.828703,43.425495,"",6146,"","",""
"3338","Kepler-973 b","Confirmed",49.6077331,0.0001208,0.0001208,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-973",290.165258,49.923862,"",5213,"","",""
"3339","Kepler-974 b","Confirmed",4.19449651,5.03e-06,5.03e-06,2016,"2016-06-27","Announced on a website","Primary Transit","","","KOI1843.01","","Kepler-974",285.013102,40.220753,"",3687,"","",""
"3340","Kepler-975 b","Confirmed",1.97034246,2.36e-06,2.36e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-975",290.54855,38.495275,"",4897,"","",""
"3341","Kepler-976 b","Confirmed",105.9564148,0.0004626,0.0004626,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-976",289.869641,46.729706,"",5232,"","",""
"3342","Kepler-977 b","Confirmed",26.85328322,6.393e-05,6.393e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-977",291.51621,42.248196,"",5315,"","",""
"3343","Kepler-978 b","Confirmed",49.6221509,0.000171,0.000171,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-978",286.710723,43.043453,"",6002,"","",""
"3344","Kepler-979 b","Confirmed",8.0880135,1.135e-05,1.135e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-979",300.371281,46.408276,"",5310,"","",""
"3345","Kepler-980 b","Confirmed",11.55102504,2.754e-05,2.754e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-980",294.613008,45.060169,"",5935,"","",""
"3346","Kepler-981 b","Confirmed",4.46975774,5.86e-06,5.86e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-981",289.248907,47.650101,"",5718,"","",""
"3347","Kepler-982 b","Confirmed",15.7738221,4.115e-05,4.115e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-982",288.41768,46.590427,"",6139,"","",""
"3348","Kepler-983 b","Confirmed",60.0855082,0.0002611,0.0002611,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-983",285.10406,45.008167,"",6052,"","",""
"3349","Kepler-984 b","Confirmed",43.0342272,0.0001479,0.0001479,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-984",296.958868,46.394127,"",5610,"","",""
"3350","Kepler-985 b","Confirmed",116.331901,0.001381,0.001381,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-985",290.144308,44.049953,"",5434,"","",""
"3351","Kepler-986 b","Confirmed",56.4349938,0.0001446,0.0001446,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-986",293.094007,42.896431,"",5642,"","",""
"3352","Kepler-987 b","Confirmed",105.3033148,0.0004783,0.0004783,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-987",289.41107,46.130848,"",5637,"","",""
"3353","Kepler-988 b","Confirmed",17.76080053,2.728e-05,2.728e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-988",290.708386,42.237251,"",4005,"","",""
"3354","Kepler-989 b","Confirmed",7.96431535,9.62e-06,9.62e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-989",281.582909,47.233631,"",5074,"","",""
"3355","Kepler-990 b","Confirmed",9.91723428,2.468e-05,2.468e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-990",297.938209,46.881393,"",5948,"","",""
"3356","Kepler-990 c","Confirmed",0.53835431,6.7e-07,6.7e-07,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-990",297.938209,46.881393,"",5948,"","",""
"3357","Kepler-991 b","Confirmed",82.5342519,0.0003449,0.0003449,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-991",297.090655,49.626572,"",4392,"","",""
"3358","Kepler-992 b","Confirmed",20.16034462,5.016e-05,5.016e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-992",284.43028,47.641785,"",4944,"","",""
"3359","Kepler-993 b","Confirmed",22.08557563,4.655e-05,4.655e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-993",292.614101,44.394661,"",3843,"","",""
"3360","Kepler-994 b","Confirmed",1.15116651,5.7e-07,5.7e-07,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-994",289.072225,47.40707,"",3934,"","",""
"3361","Kepler-995 b","Confirmed",28.26731672,8.643e-05,8.643e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-995",284.615727,39.131038,"",5206,"","",""
"3362","Kepler-996 b","Confirmed",3.77059058,8.06e-06,8.06e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-996",291.912789,41.533611,"",6014,"","",""
"3363","Kepler-997 b","Confirmed",2.70730672,5.52e-06,5.52e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-997",289.233369,49.938934,"",6150,"","",""
"3364","Kepler-998 b","Confirmed",5.65377733,1.059e-05,1.059e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-998",296.754151,49.208744,"",6058,"","",""
"3365","Kepler-999 b","Confirmed",5.99185702,8.17e-06,8.17e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-999",299.660466,46.198418,"",6237,"","",""
"3367","LHS 1140 b","Confirmed",24.73712,0.00025,0.00025,2017,"2017-05-02","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","LHS 1140",11.245833353,-15.271388898,"M4.5",3131,"","",""
"3369","LP 358-499 b","Confirmed",3.0712,1e-04,1e-04,2017,"2017-11-03","Published in a refereed paper","Primary Transit","Theoretical","Primary Transit","K2-133 b","","LP 358-499",70.150000012,25.010000008,"M1V",3644,"","","2MASS J04403562+2500361,  EPIC 247887989, K2-133"
"3371","LP 358-499 d","Confirmed",11.0234,3e-04,8e-04,2017,"2017-11-03","Published in a refereed paper","Primary Transit","Theoretical","Primary Transit","K2-133 d","","LP 358-499",70.150000012,25.010000008,"M1V",3644,"","","2MASS J04403562+2500361,  EPIC 247887989, K2-133"
